fold,condition,train_start,train_end,data_path,data_sha256,symbols,bars,years,usable_transitions,candidate_episode_starts,requested_steps,actual_steps,rollouts,episode_equivalents,optimizer_minibatch_steps,sample_presentations,transition_reuse,candidate_start_reuse,ess_max_lag,return_ess_min,return_ess_median,return_ess_max,absolute_return_ess_median,squared_return_ess_median,mom24_ess_median,xr_mom24_ess_median,carry_available,carry_update_events,carry_updated_values,effective_rank,effective_independent_samples
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2019_r16_longf.yaml,2y,2016-07-01,2018-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,519,1.9931553730321698,455,328,300000,303104,37,2368.0,2960,3031040,666.1626373626374,7.219512195121951,252,395.33862046752114,518.0,518.0,229.71129780935686,221.33686345737632,21.51376764219528,25.579197332138673,True,23,182,1.9518169013730977,1011.0411549112646
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2019_r16_longf.yaml,4y,2014-07-01,2018-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,1042,3.994524298425736,978,851,300000,303104,37,2368.0,2960,3031040,309.92229038854805,2.782608695652174,252,768.0374376755618,1041.0,1041.0,111.74485451792088,369.0903965740026,46.109752595855795,47.444080729158955,True,51,376,2.2815145765340206,2375.0566741719153
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2019_r16_longf.yaml,8y,2010-07-01,2018-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,2081,7.994524298425736,2017,1890,300000,303104,37,2368.0,2960,3031040,150.27466534457113,1.252910052910053,252,2007.7612781148712,2080.0,2080.0,177.90061112677685,312.0686262991457,88.96534495661841,96.63906861774146,True,104,772,1.9949087810425816,4149.41026456857
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2019_r16_longf.yaml,expanding,2003-06-01,2018-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,3339,12.944558521560575,3275,3148,300000,303104,37,2368.0,2960,3031040,92.55083969465649,0.7522236340533672,252,3338.0,3338.0,3338.0,78.01179248447902,125.63687687173267,105.07495501135321,165.2357405391883,True,178,1303,1.74675260108084,5830.660182407844
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2020_r16_longf.yaml,2y,2017-07-01,2019-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,518,1.9931553730321698,454,327,300000,303104,37,2368.0,2960,3031040,667.6299559471365,7.241590214067278,252,498.36123268939906,517.0,517.0,339.8985062151045,384.6732991912005,27.233827758947136,26.560656183339752,True,24,192,2.0661680933320175,1068.208904252653
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2020_r16_longf.yaml,4y,2015-07-01,2019-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,1041,4.0,977,850,300000,303104,37,2368.0,2960,3031040,310.23950870010236,2.7858823529411763,252,899.314515711842,1040.0,1040.0,99.82999841774009,331.42449391358065,49.23278637861943,51.46259523071201,True,50,377,1.9279416392287743,2005.0593047979253
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2020_r16_longf.yaml,8y,2011-07-01,2019-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,2081,8.0,2017,1890,300000,303104,37,2368.0,2960,3031040,150.27466534457113,1.252910052910053,252,1836.686184310781,2080.0,2080.0,171.6748126387267,295.9737364255561,87.4590134935418,100.30657520705343,True,104,775,2.023263711526312,4208.388519974729
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2020_r16_longf.yaml,expanding,2003-06-01,2019-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,3599,13.949349760438055,3535,3408,300000,303104,37,2368.0,2960,3031040,85.74370579915134,0.6948356807511737,252,3598.0,3598.0,3598.0,78.45381676851663,131.7944561308422,114.80387681595012,178.64423928279888,True,191,1405,1.7538752316066557,6310.443083320747
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2021_r16_longf.yaml,2y,2018-07-01,2020-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,522,1.998631074606434,458,331,300000,303104,37,2368.0,2960,3031040,661.7991266375545,7.1540785498489425,252,422.02642476260644,480.5047735151669,521.0,86.8985697296957,100.11134617902987,24.603425266056004,27.407288880644554,True,25,193,1.978733373828996,950.7908316386039
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2021_r16_longf.yaml,4y,2016-07-01,2020-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,1041,4.0,977,850,300000,303104,37,2368.0,2960,3031040,310.23950870010236,2.7858823529411763,252,825.8459013230603,1040.0,1040.0,255.17823761958016,244.84893980131537,46.408352932499355,52.24863958966047,True,49,384,1.9818429048603647,2061.1166210547794
