fold,era,policy,decision_timestamp,target_timestamp,equity_before,equity_after,net_log_return,gross_log_return,cost_jpy,financing_jpy,weight_turnover,gross_leverage
2009,2009-2018,supervised,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,1000000.0,1003364.8143195256,0.003359165998643967,0.0036421735498379693,284.0000042319298,-150.30884515091188,3.200000047683716,3.1881361437742917
2009,2009-2018,supervised,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,1003364.8143195256,999671.5598425071,-0.003687660104418314,-0.0034470156994361924,240.59431537270362,-26.038200670303812,4.800000071525574,3.2482844731072826
2009,2009-2018,supervised,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,999671.5598425071,992724.9502194162,-0.006973147901140136,-0.0067253524280715725,246.02322912896977,72.98240714375714,4.800000071525574,3.261719509504885
2009,2009-2018,supervised,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,992724.9502194162,992449.8536560269,-0.00027715097392246133,3.3400559505307616e-05,308.2546859083362,25.61511211495904,6.400000095367432,3.175406256248001
2009,2009-2018,supervised,2009-04-09T00:00:00+01:00,2009-04-10T00:00:00+01:00,992449.8536560269,995519.6390114578,0.0030883650948575745,0.0034062250098470907,316.4860842818863,44.735626927262665,6.400000095367432,3.1945859957454306
2009,2009-2018,supervised,2009-04-10T00:00:00+01:00,2009-04-13T00:00:00+01:00,995519.6390114578,1001598.45545976,0.006087607175563976,0.006564253335206967,477.5218527370257,-42.16890067772508,6.400000095367432,3.1382488308437506
2009,2009-2018,supervised,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,1001598.45545976,1015692.4845429548,0.0139734513581387,0.014162538378502048,192.07242413655666,-91.26143481350294,3.200000047683716,3.209475518625709
2009,2009-2018,supervised,2009-04-14T00:00:00+01:00,2009-04-15T00:00:00+01:00,1015692.4845429548,998264.6031369672,-0.01730753505627129,-0.01701414216792252,292.9267044554058,45.51766746481027,6.400000095367432,3.254656375654243
2009,2009-2018,supervised,2009-04-15T00:00:00+01:00,2009-04-16T00:00:00+01:00,998264.6031369672,986076.5476553583,-0.01228438844545557,-0.012083414469396758,198.1956398964433,72.9166860840607,3.200000047683716,3.2556784690637137
2009,2009-2018,supervised,2009-04-16T00:00:00+01:00,2009-04-17T00:00:00+01:00,986076.5476553583,982800.334939522,-0.003328004679863195,-0.003117086843424469,207.31198242556758,-10.97710426651378,4.800000071525574,3.2313818367690037
2009,2009-2018,supervised,2009-04-17T00:00:00+01:00,2009-04-20T00:00:00+01:00,982800.334939522,953923.2594340023,-0.02982275408038345,-0.029500399959614024,307.5506610246893,376.26031656567255,4.800000071525574,3.398908497424765
2009,2009-2018,supervised,2009-04-20T00:00:00+01:00,2009-04-21T00:00:00+01:00,953923.2594340023,965459.6259832154,0.01202105693365776,0.01230387088637521,273.08406718547957,92.0088133521002,6.400000095367432,3.1297260577564687
2009,2009-2018,supervised,2009-04-21T00:00:00+01:00,2009-04-22T00:00:00+01:00,965459.6259832154,951837.4450448679,-0.014210015093081705,-0.013955945476405317,241.863698608278,-41.33276003324592,4.800000071525574,3.2684188210109397
2009,2009-2018,supervised,2009-04-22T00:00:00+01:00,2009-04-23T00:00:00+01:00,951837.4450448679,953997.336243223,0.0022666100380457693,0.002595994264199692,314.2834315122245,-4.371315004651344,6.400000095367432,3.154583650291075
2009,2009-2018,supervised,2009-04-23T00:00:00+01:00,2009-04-24T00:00:00+01:00,953997.336243223,963940.2435263058,0.010368425399447156,0.010507698903643517,134.26068481270738,51.9779195883287,1.600000023841858,3.145204055750243
2009,2009-2018,supervised,2009-04-24T00:00:00+01:00,2009-04-27T00:00:00+01:00,963940.2435263058,972408.5085916584,0.008746687851990162,0.009196381874739706,437.3846312406113,-260.2569090449463,6.400000095367432,3.2305421657928215
2009,2009-2018,supervised,2009-04-27T00:00:00+01:00,2009-04-28T00:00:00+01:00,972408.5085916584,980890.5735720806,0.008684915047638457,0.008896682829208084,207.74301659038474,-87.05068008240393,3.200000047683716,3.1634751549280984
2009,2009-2018,supervised,2009-04-28T00:00:00+01:00,2009-04-29T00:00:00+01:00,980890.5735720806,990856.568196623,0.010108881896272296,0.01033821613069498,227.26339113175868,70.86193531052986,4.800000071525574,3.0918435814769505
2009,2009-2018,supervised,2009-04-29T00:00:00+01:00,2009-04-30T00:00:00+01:00,990856.568196623,980839.9246778546,-0.010160518850769754,-0.009861428776215956,293.4033610266237,-118.35265445209545,6.400000095367432,3.19396053610802
2009,2009-2018,supervised,2009-04-30T00:00:00+01:00,2009-05-01T00:00:00+01:00,980839.9246778546,988645.9126549661,0.007926971298218176,0.008220292980257022,290.03381656471925,52.07583531254462,6.400000095367432,3.1466538095826984
