fold,era,policy,decision_timestamp,pair,predicted_rank,target_weight,price_simple_contribution,carry_simple_contribution,gross_simple_contribution,gross_log_contribution
2009,2009-2018,supervised,2009-04-09T00:00:00+01:00,JPY/EUR,7,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-09T00:00:00+01:00,JPY/GBP,9,0.800000011920929,0.0032713480811138785,-3.037862246355123e-05,0.003240969458650327,0.0032354528566135342
2009,2009-2018,supervised,2009-04-09T00:00:00+01:00,JPY/AUD,3,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-09T00:00:00+01:00,JPY/CHF,8,0.800000011920929,0.0006457536428223316,1.3161235667980129e-05,0.0006589148784903118,0.0006577933094020716
2009,2009-2018,supervised,2009-04-09T00:00:00+01:00,JPY/CAD,5,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-09T00:00:00+01:00,JPY/NZD,2,-0.800000011920929,-0.003776468426569957,5.923722553793896e-05,-0.0037172312010320184,-0.0037109039321464353
2009,2009-2018,supervised,2009-04-09T00:00:00+01:00,JPY/NOK,6,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-09T00:00:00+01:00,JPY/SEK,1,-0.800000011920929,0.0032263235322165028,3.0561182568334177e-06,0.0032293796504733363,0.0032238827759780123
2009,2009-2018,supervised,2009-04-10T00:00:00+01:00,JPY/USD,5,0.0,0.0,0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-10T00:00:00+01:00,JPY/EUR,3,0.0,-0.0,-0.0,-0.0,-0.0
2009,2009-2018,supervised,2009-04-10T00:00:00+01:00,JPY/GBP,4,0.0,-0.0,-0.0,-0.0,-0.0
2009,2009-2018,supervised,2009-04-10T00:00:00+01:00,JPY/AUD,6,0.0,-0.0,-0.0,-0.0,-0.0
2009,2009-2018,supervised,2009-04-10T00:00:00+01:00,JPY/CHF,1,-0.800000011920929,0.014271199204450002,-3.8748080062606876e-05,0.014232451124387395,0.01418578952264418
2009,2009-2018,supervised,2009-04-10T00:00:00+01:00,JPY/CAD,7,0.0,-0.0,-0.0,-0.0,-0.0
2009,2009-2018,supervised,2009-04-10T00:00:00+01:00,JPY/NZD,8,0.800000011920929,-0.011838322303164516,-0.00017425931055384543,-0.012012581613718362,-0.011973197933825955
2009,2009-2018,supervised,2009-04-10T00:00:00+01:00,JPY/NOK,2,-0.800000011920929,0.010337163989475267,0.00017978351414548992,0.010516947503620757,0.010482467313829178
2009,2009-2018,supervised,2009-04-10T00:00:00+01:00,JPY/SEK,9,0.800000011920929,-0.006141836942650624,-9.134806397010328e-06,-0.006150971749047634,-0.006130805567440586
2009,2009-2018,supervised,2009-04-13T00:00:00+01:00,JPY/USD,1,-0.800000011920929,-0.00848738345000465,-1.0853666403609794e-05,-0.008498237116408259,-0.00843820085753624
2009,2009-2018,supervised,2009-04-13T00:00:00+01:00,JPY/EUR,8,0.800000011920929,0.014257133919424635,-6.469440336813769e-06,0.014250664479087821,0.014149989883869373
2009,2009-2018,supervised,2009-04-13T00:00:00+01:00,JPY/GBP,4,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-13T00:00:00+01:00,JPY/AUD,7,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-13T00:00:00+01:00,JPY/CHF,2,-0.800000011920929,-0.011654268725817101,-1.3342196671701657e-05,-0.011667610922488802,-0.011585184449778591
2009,2009-2018,supervised,2009-04-13T00:00:00+01:00,JPY/CAD,3,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-13T00:00:00+01:00,JPY/NZD,9,0.800000011920929,0.02023893630064748,-6.045048686893261e-05,0.020178485813778547,0.02003593380194749
2009,2009-2018,supervised,2009-04-13T00:00:00+01:00,JPY/NOK,5,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-13T00:00:00+01:00,JPY/SEK,6,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-14T00:00:00+01:00,JPY/USD,8,0.800000011920929,-0.0020961574629364196,1.0711585991353873e-05,-0.0020854458769450656,-0.002103237221104956
2009,2009-2018,supervised,2009-04-14T00:00:00+01:00,JPY/EUR,3,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-14T00:00:00+01:00,JPY/GBP,9,0.800000011920929,-0.00695590131892821,-2.9991841901172324e-05,-0.006985893160829382,-0.007045491173351581
2009,2009-2018,supervised,2009-04-14T00:00:00+01:00,JPY/AUD,5,0.0,-0.0,-0.0,-0.0,-0.0
2009,2009-2018,supervised,2009-04-14T00:00:00+01:00,JPY/CHF,6,0.0,0.0,0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-14T00:00:00+01:00,JPY/CAD,7,0.0,-0.0,-0.0,-0.0,-0.0
2009,2009-2018,supervised,2009-04-14T00:00:00+01:00,JPY/NZD,4,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-14T00:00:00+01:00,JPY/NOK,2,-0.800000011920929,-0.0039371646685240165,6.101112271651465e-05,-0.003876153545807502,-0.003909221765180839
2009,2009-2018,supervised,2009-04-14T00:00:00+01:00,JPY/SEK,1,-0.800000011920929,-0.0039258100173719885,3.0835510978455387e-06,-0.003922726466274143,-0.003956192008285154
2009,2009-2018,supervised,2009-04-15T00:00:00+01:00,JPY/USD,9,0.800000011920929,-0.0008053838620179821,1.0728914184900448e-05,-0.0007946549478330817,-0.0007994656892485461
2009,2009-2018,supervised,2009-04-15T00:00:00+01:00,JPY/EUR,5,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-15T00:00:00+01:00,JPY/GBP,7,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-15T00:00:00+01:00,JPY/AUD,4,0.0,0.0,-0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-15T00:00:00+01:00,JPY/CHF,3,0.0,0.0,0.0,0.0,0.0
2009,2009-2018,supervised,2009-04-15T00:00:00+01:00,JPY/CAD,8,0.800000011920929,0.002728035867863673,-3.848696119535322e-07,0.0027276509982517194,0.0027441638553855037
2009,2009-2018,supervised,2009-04-15T00:00:00+01:00,JPY/NZD,2,-0.800000011920929,-0.008849883323098598,5.96111292659297e-05,-0.008790272193832669,-0.008843487399515827
2009,2009-2018,supervised,2009-04-15T00:00:00+01:00,JPY/NOK,6,0.0,-0.0,-0.0,-0.0,-0.0
2009,2009-2018,supervised,2009-04-15T00:00:00+01:00,JPY/SEK,1,-0.800000011920929,-0.005156515306528115,3.0882716112833975e-06,-0.005153427034916832,-0.005184625236017892
2009,2009-2018,supervised,2009-04-16T00:00:00+01:00,JPY/USD,2,-0.800000011920929,-0.0020185708446115655,-1.0766824809729173e-05,-0.002029337669421295,-0.002032502123422166
2009,2009-2018,supervised,2009-04-16T00:00:00+01:00,JPY/EUR,9,0.800000011920929,0.01002317155818676,-6.435800635861467e-06,0.010016735757550898,0.010032355385580909
2009,2009-2018,supervised,2009-04-16T00:00:00+01:00,JPY/GBP,4,0.0,0.0,-0.0,0.0,0.0
