policy,fold,era,timestamp,realized_market_volatility,mean_cross_pair_correlation,cross_sectional_return_dispersion,momentum_dispersion,carry_dispersion,trend_reversal_proxy,decision_gross_exposure,decision_turnover,next_net_return,next_gross_return,next_cost_ratio,next_drawdown_change
agent,2009,2009-2018,2009-04-03T00:00:00+01:00,0.013812288457582271,0.7538124809136156,0.007632275451601118,0.04457751406932378,0.013789266426783811,-0.09592258866323995,0.0,1.0243973588803783,0.0002151942598419583,0.00030991193636091476,9.474254823871888e-05,0.01625122789789546
agent,2009,2009-2018,2009-04-06T00:00:00+01:00,0.013820615051994129,0.7572639042188059,0.007484149049749889,0.04419691464438613,0.013789266426783811,-0.09892994979743652,1.0247342947548834,1.7323761383304372,0.01768230629748784,0.017786466662408518,0.00010602406205255554,0.016462902210413022
agent,2009,2009-2018,2009-04-07T00:00:00+01:00,0.01396440549816732,0.7617857524183038,0.007510481687324875,0.0407953040812589,0.013789266426783811,-0.08906148113485994,1.8239249093139387,0.44906667806208134,0.02471231123339343,0.024773021252932393,6.223088484217261e-05,0.03370125040355931
agent,2009,2009-2018,2009-04-08T00:00:00+01:00,0.014250924511547258,0.7784279861526187,0.007384563238004542,0.044865631780643234,0.013789266426783811,-0.05373912551422443,2.146442253470424,0.3871800978668034,-0.01906431758555708,-0.019007534076241582,5.571280589875837e-05,0.057288082917269945
agent,2009,2009-2018,2009-04-09T00:00:00+01:00,0.013204301605225587,0.7468144695685812,0.007461852699245613,0.04545825922691614,0.013789266426783811,-0.04438571831459883,2.0912233739525226,0.9798927367664874,0.003127340099640146,0.0032202749919800215,9.32303184008845e-05,0.05681825223027248
agent,2009,2009-2018,2009-04-10T00:00:00+01:00,0.013183078622634428,0.7513485752728093,0.00734569029475447,0.04508661472869885,0.013789266426783811,-0.04266367250119555,2.866311346213778,0.6300981473177671,-0.043057561736943264,-0.042819975221879886,0.0002276007653551388,0.10394195686208862
agent,2009,2009-2018,2009-04-13T00:00:00+01:00,0.013204455026143048,0.7500881862273565,0.007406099103837221,0.05005280899069173,0.013789266426783811,-0.029589679918035634,3.5669415625673806,0.3974151909351349,0.059941718877296594,0.060020425239910934,8.357171043573764e-05,0.06451720631792734
agent,2009,2009-2018,2009-04-14T00:00:00+01:00,0.013260261312760547,0.7507943643443029,0.007433664019898726,0.04775769936272679,0.013789266426783811,-0.13131118616894624,3.401790498052523,0.7537552714347839,-0.001460342016097575,-0.0013761571297233742,8.406557584587657e-05,0.11894413570328477
agent,2009,2009-2018,2009-04-15T00:00:00+01:00,0.012619566370694946,0.7342404042074814,0.007367308169990717,0.05325938393975456,0.013789266426783811,-0.07425804531833956,3.0107736865818273,0.38463917933404446,0.014097974657952355,0.014164004905481378,6.696994407826518e-05,0.11765655287929933
agent,2009,2009-2018,2009-04-16T00:00:00+01:00,0.01249104344158282,0.7283347417379261,0.007351121313139929,0.047073593074711484,0.013789266426783811,-0.1185702567619711,2.698146932572718,0.3853116314858198,0.02639905475124163,0.026459953964955558,6.253020800411644e-05,0.1300085348897394
agent,2009,2009-2018,2009-04-17T00:00:00+01:00,0.012296787430814336,0.7204293654702091,0.0073020367528983145,0.04181471165496835,0.013789266426783811,-0.031753188018320416,2.4351796216202315,0.6366037297993898,0.089492436030468,0.08967039885985408,0.00019464086130363371,0.15267498443123761
agent,2009,2009-2018,2009-04-20T00:00:00+01:00,0.012884676074643938,0.7319578105276969,0.0073660131091308105,0.03681010418910766,0.013789266426783811,0.057744703867438886,2.6883450556542976,0.8910847492516041,-0.03348434114955106,-0.033406263308225694,7.550969003011312e-05,0.22521008855253533
agent,2009,2009-2018,2009-04-21T00:00:00+01:00,0.01301803144164864,0.7380851973244219,0.007395682785082831,0.04332824421774999,0.013789266426783811,-0.009505531957229649,2.21243524144459,0.5010120291262865,0.010935667068811232,0.010998774828355297,6.380368550829074e-05,0.1988275223828454
agent,2009,2009-2018,2009-04-22T00:00:00+01:00,0.01305822785793983,0.7398914474447278,0.007415555142137008,0.04351922493241421,0.013789266426783811,-0.01875849332576106,2.151972482394702,0.46238794550299644,-0.0175739786943678,-0.01751801594557182,5.498939080264851e-05,0.20754114637977428
agent,2009,2009-2018,2009-04-23T00:00:00+01:00,0.012986361706383575,0.7477519082017594,0.007189587469951262,0.03628132825533264,0.013789266426783811,0.000629566646232887,1.9729144536403942,1.4343499513342977,-0.01178252163166507,-0.011671480486620272,0.00010974657104731543,0.19349139797791626
agent,2009,2009-2018,2009-04-24T00:00:00+01:00,0.01276311028049021,0.739165050472076,0.007236608164798659,0.0387280764007997,0.013789266426783811,0.012315011932142609,2.947431289078467,3.2046659411862493,-0.007933456432488047,-0.007745235778108293,0.00018675089630081432,0.1839324894920722
agent,2009,2009-2018,2009-04-27T00:00:00+01:00,0.01329148259234609,0.7689049426101708,0.007073252934119209,0.028558883442092245,0.013789266426783811,0.0032476334979381015,1.0599961913874496,1.1870734337717295,0.0029865725521550507,0.0030588930475256688,7.253943164633238e-05,0.17743250386734888
agent,2009,2009-2018,2009-04-28T00:00:00+01:00,0.013175156372523701,0.7614154496207582,0.007137373935442084,0.022608723239732714,0.013789266426783811,-0.011047073934272013,1.523462529589306,0.3310131262987852,-0.015578125543559277,-0.01553945056698838,3.807789776575057e-05,0.17988549653000263
agent,2009,2009-2018,2009-04-29T00:00:00+01:00,0.013659351023688168,0.773067315873754,0.007238045600826486,0.026526619883091802,0.013789266426783811,-0.01402538572891771,1.2786544692244306,0.9394702482968569,-0.022534623112307178,-0.022460705604878166,7.227310315921445e-05,0.1670096192081063
agent,2009,2009-2018,2009-04-30T00:00:00+01:00,0.013721639641639189,0.7765007190034419,0.007140851904831134,0.02800504079914066,0.01369379800942843,0.03151306674519352,1.8045792059145622,1.0891374070197344,-0.03002455357192952,-0.029928195966214852,9.35120173423702e-05,0.1480253971328246
agent,2009,2009-2018,2009-05-01T00:00:00+01:00,0.013801894183181724,0.805131716095301,0.00688346000217444,0.03230879339242904,0.01369379800942843,0.04747423763786203,2.7375213866554806,2.314029313623905,-0.03862639721121481,-0.0382241247653716,0.0003871082349493345,0.12205735129894124
agent,2009,2009-2018,2009-05-04T00:00:00+01:00,0.013759834954510901,0.8162203997592955,0.006789525709503063,0.03333711638379076,0.01369379800942843,0.06474281411965527,5.158367516124281,0.26178725087682164,0.010738908080312368,0.010848089386852751,0.00011036613762257561,0.12103948114022756
