scope,metric,legacy,current,current_minus_legacy,interpretation
fold:2022,mean_max_drawdown,0.2204834731755646,0.2204834731755646,0.0,descriptive_only_not_paired_evidence
fold:2023,annualized_net_return,-0.028122744445984362,-0.028122744445984362,0.0,descriptive_only_not_paired_evidence
fold:2023,annualized_gross_return,-0.012159572029868499,-0.012159572029868499,0.0,descriptive_only_not_paired_evidence
fold:2023,mean_max_drawdown,0.09281489115238173,0.09281489115238173,0.0,descriptive_only_not_paired_evidence
fold:2024,annualized_net_return,0.27133846832591246,0.27133846832591246,0.0,descriptive_only_not_paired_evidence
fold:2024,annualized_gross_return,0.3005534793884247,0.3005534793884247,0.0,descriptive_only_not_paired_evidence
fold:2024,mean_max_drawdown,0.07647594117039114,0.07647594117039114,0.0,descriptive_only_not_paired_evidence
fold:2025,annualized_net_return,0.21256320463903658,0.21256320463903658,0.0,descriptive_only_not_paired_evidence
fold:2025,annualized_gross_return,0.2372397946111564,0.2372397946111564,0.0,descriptive_only_not_paired_evidence
fold:2025,mean_max_drawdown,0.04307214457185127,0.04307214457185127,0.0,descriptive_only_not_paired_evidence
