policy,candidate,fold,era,first_timestamp,high_minus_low_next_net_return,high_minus_low_next_gross_return,high_minus_low_next_cost_ratio,high_minus_low_next_drawdown_change,rank_association_next_net_return,rank_association_next_gross_return,rank_association_next_cost_ratio,rank_association_next_drawdown_change
agent,realized_market_volatility,2009,2009-2018,2009-04-03T00:00:00+01:00,-0.0012463235396332187,-0.0012180465959259492,2.805533302286829e-05,0.04960803074868264,-0.036905128769535556,-0.0364142637023993,0.23329517939687436,0.24569902897472637
agent,realized_market_volatility,2010,2009-2018,2010-03-31T00:00:00+01:00,-0.0010406387650243646,-0.00103142926475195,9.075554309482216e-06,0.024454043790959987,-0.0759344588793409,-0.07510673678543806,0.03451643687980688,0.08865773719737441
agent,realized_market_volatility,2011,2009-2018,2011-03-31T00:00:00+01:00,0.003258102877486628,0.0032709851730143894,1.3391965203280143e-05,-0.000205563672118967,0.08301782962799913,0.08370680167290337,0.13116883116883118,-0.09080880380750915
agent,realized_market_volatility,2012,2009-2018,2012-03-29T00:00:00+01:00,-0.0010420709686759526,-0.0010139430913355249,2.820476035831997e-05,0.02031546898682799,-0.008754916594764073,-0.008514472901676616,0.22580960902366032,0.17164130038119008
agent,realized_market_volatility,2013,2009-2018,2013-04-01T00:00:00+01:00,0.0044889521372962985,0.004460182253939282,-2.782957914024186e-05,-0.0201214027229344,-0.005563875279167606,-0.006293173594639983,-0.17940738560620492,-0.204519348106111
agent,realized_market_volatility,2014,2009-2018,2014-03-31T00:00:00+01:00,-0.0006512684241683506,-0.0006308919666931092,2.0210852893554906e-05,0.018303206579252915,0.006595108070219487,0.007480174921013536,0.17197079070156718,0.17184047470983096
agent,realized_market_volatility,2015,2009-2018,2015-03-31T00:00:00+01:00,-0.0001462997678786511,-0.00014770682969295762,-1.3777488524114608e-06,0.006577110235421561,0.0004373025338438683,0.0012428598330299417,0.031998409808967836,0.11333724763044302
agent,realized_market_volatility,2016,2009-2018,2016-03-30T00:00:00+01:00,-0.002122975958758077,-0.0021219133138915243,7.956327776546509e-07,0.026141787567408724,-0.052285864145057766,-0.05205605955343436,0.01682361114509713,0.32971591053504495
agent,realized_market_volatility,2017,2009-2018,2017-03-30T00:00:00+01:00,-7.416484579433658e-05,-8.089342655535054e-05,-6.780130551987379e-06,-0.002149298466949112,0.0025005502971604666,0.0015034118423948935,-0.060462249614792,0.010236481021855396
agent,realized_market_volatility,2018,2009-2018,2018-03-29T00:00:00+01:00,-0.0009347442042407722,-0.0009349449388896,-2.7826104733316367e-07,-0.010433932817585319,-0.104885652710648,-0.10500491703805995,-0.07659280647793609,-0.07501357160167192
