timestamp,equity_jpy
2009-03-31T00:00:00+01:00,1000000.0
2009-04-01T00:00:00+01:00,982135.8889347626
2009-04-02T00:00:00+01:00,929970.5968190263
2009-04-03T00:00:00+01:00,917690.4148502401
2009-04-06T00:00:00+01:00,919753.943928919
2009-04-07T00:00:00+01:00,946196.5441379858
2009-04-08T00:00:00+01:00,956909.591909713
2009-04-09T00:00:00+01:00,932926.9138214556
2009-04-10T00:00:00+01:00,936924.6202752878
2009-04-13T00:00:00+01:00,913902.8860873645
2009-04-14T00:00:00+01:00,943300.1427716317
2009-04-15T00:00:00+01:00,936509.067414665
2009-04-16T00:00:00+01:00,952411.7600760977
2009-04-17T00:00:00+01:00,952113.2734237228
2009-04-20T00:00:00+01:00,1003611.7007305206
2009-04-21T00:00:00+01:00,996912.8786732485
2009-04-22T00:00:00+01:00,1023741.1620821913
2009-04-23T00:00:00+01:00,1033629.0490779056
2009-04-24T00:00:00+01:00,1029576.2196282893
2009-04-27T00:00:00+01:00,1014975.0130334107
2009-04-28T00:00:00+01:00,1030772.5470803252
2009-04-29T00:00:00+01:00,1028642.6501170683
2009-04-30T00:00:00+01:00,1016449.8478619194
2009-05-01T00:00:00+01:00,1005922.7050585197
2009-05-04T00:00:00+01:00,996888.9593700429
2009-05-05T00:00:00+01:00,992140.1092951759
2009-05-06T00:00:00+01:00,975192.9871565062
2009-05-07T00:00:00+01:00,973558.1890078561
2009-05-08T00:00:00+01:00,968723.641133354
2009-05-11T00:00:00+01:00,998249.0653099668
2009-05-12T00:00:00+01:00,995744.6930235886
2009-05-13T00:00:00+01:00,1040036.7044677305
2009-05-14T00:00:00+01:00,1043739.382899458
2009-05-15T00:00:00+01:00,1051562.1033896904
2009-05-18T00:00:00+01:00,1065486.8125867755
2009-05-19T00:00:00+01:00,1054778.261974193
2009-05-20T00:00:00+01:00,1056867.0541138838
2009-05-21T00:00:00+01:00,1051993.0164398495
2009-05-22T00:00:00+01:00,1022181.8678070685
2009-05-25T00:00:00+01:00,1036222.85400549
2009-05-26T00:00:00+01:00,1025589.9354441349
2009-05-27T00:00:00+01:00,1049663.0184282148
2009-05-28T00:00:00+01:00,1018385.1777244576
