fold,era,score,selected_alpha,mean_rank_ic,median_rank_ic,positive_rank_ic_fraction,rank_ic_observation_fraction,mean_tail_spread,tail_ordering_accuracy,mean_top_overlap,mean_bottom_overlap,mean_score_dispersion,mean_rank_churn
2009,2009-2018,supervised,0.0,0.01752136752136752,0.03333333333333333,0.517948717948718,1.0,0.00017787139513942876,0.49230769230769234,0.24358974358974358,0.19230769230769232,0.001306255873045345,0.38258877434135163
2009,2009-2018,reversal,,0.015470085470085467,0.0,0.49743589743589745,1.0,0.0003374272455019306,0.5076923076923077,0.24615384615384617,0.2717948717948718,0.022392255265924647,0.08949026345933563
2009,2009-2018,ppo,,-0.01572649572649573,-0.06666666666666667,0.4512820512820513,1.0,-0.00022633555473512316,0.4666666666666667,0.2076923076923077,0.20256410256410257,0.16098831035665412,0.09235395189003437
2010,2009-2018,supervised,0.0,0.04115791626321694,0.049999999999999996,0.5561224489795918,0.9949238578680203,0.0003549186053350986,0.5634517766497462,0.24619289340101522,0.2436548223350254,0.0007007151594964829,0.38222789115646255
2010,2009-2018,reversal,,-0.0015189828194345526,-0.016666666666666666,0.47959183673469385,0.9949238578680203,2.1393829067570726e-05,0.4873096446700508,0.23857868020304568,0.22842639593908629,0.021081838420246208,0.08092403628117915
2010,2009-2018,ppo,,-0.00901651279854273,-0.008333333333333333,0.4846938775510204,0.9949238578680203,-0.00029111495238857017,0.47715736040609136,0.22842639593908629,0.2563451776649746,0.14834458278976487,0.10260770975056689
2011,2009-2018,supervised,0.1,0.03273504273504274,0.049999999999999996,0.558974358974359,1.0,0.0003004820591774581,0.49230769230769234,0.2153846153846154,0.24102564102564103,0.0006211273847301001,0.3838774341351661
2011,2009-2018,reversal,,0.05000000000000001,0.09999999999999999,0.5538461538461539,1.0,0.0007332308941027198,0.5538461538461539,0.2358974358974359,0.19743589743589743,0.021224660481202143,0.10352233676975946
2011,2009-2018,ppo,,-0.019145299145299142,-0.016666666666666666,0.4717948717948718,1.0,-0.0003723515163197873,0.48205128205128206,0.21025641025641026,0.2282051282051282,0.12556898044663445,0.13087056128293242
2012,2009-2018,supervised,0.0,-0.014297800338409473,0.016666666666666666,0.5177664974619289,1.0,4.943761103010859e-05,0.5279187817258884,0.20050761421319796,0.2233502538071066,0.0005396653847710183,0.39441609977324266
2012,2009-2018,reversal,,-0.007360406091370569,-0.049999999999999996,0.4720812182741117,1.0,-0.00018336297560491842,0.4517766497461929,0.20558375634517767,0.21065989847715735,0.01391818244500581,0.09169501133786848
2012,2009-2018,ppo,,0.007698815566835871,0.0,0.4873096446700508,1.0,0.00014300970052608214,0.48223350253807107,0.23857868020304568,0.24619289340101522,0.19229047086488488,0.1167800453514739
2013,2009-2018,supervised,10.0,0.008588435374149663,0.03333333333333333,0.5204081632653061,1.0,0.00023496846189552427,0.5,0.25,0.24744897959183673,0.000408932553940122,0.4115384615384615
2013,2009-2018,reversal,,0.0443877551020408,0.041666666666666664,0.5306122448979592,1.0,0.0003885193176501613,0.5459183673469388,0.2372448979591837,0.2653061224489796,0.016507198968782416,0.08575498575498575
2013,2009-2018,ppo,,-0.013265306122448984,0.03333333333333333,0.5102040816326531,1.0,3.6123400440043307e-05,0.4744897959183674,0.20153061224489796,0.23469387755102042,0.17820913845554853,0.11495726495726495
2014,2009-2018,supervised,10.0,0.04204421926626481,0.016666666666666666,0.51010101010101,1.0,0.00036835982231057143,0.5303030303030303,0.23737373737373738,0.255050505050505,0.0003704665028997272,0.41215454032712917
2014,2009-2018,reversal,,-0.007199616723804843,0.0,0.494949494949495,1.0,-2.7101808201416917e-05,0.5202020202020202,0.23232323232323232,0.26262626262626265,0.014055529184575635,0.08460236886632824
