timestamp,equity_jpy
2018-03-29T00:00:00+01:00,1000000.0
2018-03-30T00:00:00+01:00,1002135.4256830274
2018-04-02T00:00:00+01:00,1004408.9601105117
2018-04-03T00:00:00+01:00,994459.6778249097
2018-04-04T00:00:00+01:00,1000666.7590502241
2018-04-05T00:00:00+01:00,996416.0624643125
2018-04-06T00:00:00+01:00,1001554.8582783216
2018-04-09T00:00:00+01:00,1003171.1606396242
2018-04-10T00:00:00+01:00,1001625.6937593272
2018-04-11T00:00:00+01:00,999231.6272411613
2018-04-12T00:00:00+01:00,992402.8700061993
2018-04-13T00:00:00+01:00,979383.1585436705
2018-04-16T00:00:00+01:00,975088.7968964359
2018-04-17T00:00:00+01:00,976345.3706458306
2018-04-18T00:00:00+01:00,972693.716979698
2018-04-19T00:00:00+01:00,980398.3336159058
2018-04-20T00:00:00+01:00,985201.5687378459
2018-04-23T00:00:00+01:00,987564.2297536005
2018-04-24T00:00:00+01:00,984452.5424403024
2018-04-25T00:00:00+01:00,983167.7108556278
2018-04-26T00:00:00+01:00,976315.0230714635
2018-04-27T00:00:00+01:00,965366.4254166179
2018-04-30T00:00:00+01:00,962358.0965284525
2018-05-01T00:00:00+01:00,954189.1717368126
2018-05-02T00:00:00+01:00,941743.3003883301
2018-05-03T00:00:00+01:00,936408.3318778176
2018-05-04T00:00:00+01:00,944338.46504664
2018-05-07T00:00:00+01:00,940913.9558528732
2018-05-08T00:00:00+01:00,939996.0552970447
2018-05-09T00:00:00+01:00,944495.501933384
2018-05-10T00:00:00+01:00,945835.8954633643
2018-05-11T00:00:00+01:00,947758.0901713863
2018-05-14T00:00:00+01:00,950964.6295926515
2018-05-15T00:00:00+01:00,946542.7740198133
2018-05-16T00:00:00+01:00,943065.3586368335
2018-05-17T00:00:00+01:00,946031.7258212763
2018-05-18T00:00:00+01:00,944848.2985969835
2018-05-21T00:00:00+01:00,949189.7344743443
2018-05-22T00:00:00+01:00,946613.6452731135
2018-05-23T00:00:00+01:00,947642.3586956123
2018-05-24T00:00:00+01:00,941914.0279281513
2018-05-25T00:00:00+01:00,945264.3146078582
2018-05-28T00:00:00+01:00,943685.9284218597
2018-05-29T00:00:00+01:00,940649.2576154112
2018-05-30T00:00:00+01:00,933002.8803419215
2018-05-31T00:00:00+01:00,947283.9953688313
2018-06-01T00:00:00+01:00,947796.2468162408
2018-06-04T00:00:00+01:00,955001.786307947
2018-06-05T00:00:00+01:00,950881.0941283762
2018-06-06T00:00:00+01:00,957913.7830734096
2018-06-07T00:00:00+01:00,960300.317468005
2018-06-08T00:00:00+01:00,957771.607137777
2018-06-11T00:00:00+01:00,959151.2328867699
2018-06-12T00:00:00+01:00,958645.2038701988
2018-06-13T00:00:00+01:00,956177.1369888915
2018-06-14T00:00:00+01:00,957304.4039172992
2018-06-15T00:00:00+01:00,955843.446349599
2018-06-18T00:00:00+01:00,952386.6867544602
2018-06-19T00:00:00+01:00,949146.6836541258
2018-06-20T00:00:00+01:00,941414.4195303462
2018-06-21T00:00:00+01:00,941007.4080044008
2018-06-22T00:00:00+01:00,939966.8979897565
2018-06-25T00:00:00+01:00,947902.0239252091
2018-06-26T00:00:00+01:00,945103.5662440489
2018-06-27T00:00:00+01:00,946610.692357171
2018-06-28T00:00:00+01:00,942292.9647978998
2018-06-29T00:00:00+01:00,948044.5134921906
2018-07-02T00:00:00+01:00,958803.9470422292
2018-07-03T00:00:00+01:00,946452.0290629166
2018-07-04T00:00:00+01:00,952205.2779899229
2018-07-05T00:00:00+01:00,951422.7274213798
2018-07-06T00:00:00+01:00,950472.7033852467
2018-07-09T00:00:00+01:00,953528.2244286411
2018-07-10T00:00:00+01:00,958614.7370990999
2018-07-11T00:00:00+01:00,951928.2873864502
2018-07-12T00:00:00+01:00,948662.3520142656
2018-07-13T00:00:00+01:00,957568.2798441935
2018-07-16T00:00:00+01:00,958555.6834415443
2018-07-17T00:00:00+01:00,965026.5261459508
2018-07-18T00:00:00+01:00,962932.6500262906
2018-07-19T00:00:00+01:00,964296.9169645808
2018-07-20T00:00:00+01:00,953884.3275804583
2018-07-23T00:00:00+01:00,963525.2909341315
2018-07-24T00:00:00+01:00,962479.5944836317
2018-07-25T00:00:00+01:00,967338.2223155703
2018-07-26T00:00:00+01:00,965129.6202514385
2018-07-27T00:00:00+01:00,958892.7424403853
2018-07-30T00:00:00+01:00,961300.7849623462
