fold,policy,status,error,parent_failures,source_result_path,source_result_sha256,source_pairs_sha256,metrics.steps,metrics.cumulative_log_return,metrics.gross_cumulative_log_return,metrics.annualized_net_return,metrics.annualized_gross_return,metrics.final_equity_ratio,metrics.sharpe_annualized,metrics.max_drawdown,metrics.total_cost_ratio,metrics.mean_gross_leverage,metrics.mean_weight_turnover,metrics.total_weight_turnover,metrics.terminated_by_margin_call,metrics.eval_start,metrics.eval_end,metrics.annualized_gross_minus_net,metrics.total_price_pnl_jpy,metrics.total_financing_jpy,metrics.total_spread_jpy,metrics.total_commission_jpy,metrics.total_overnight_jpy,metrics.total_actual_traded_notional_jpy,metrics.mean_target_gross_exposure,metrics.mean_target_net_exposure,attribution.elapsed_years,attribution.steps,attribution.log_undefined_reason,attribution.common_cumulative_log,attribution.common_annual_log,attribution.common_pnl_jpy,attribution.relative_cumulative_log,attribution.relative_annual_log,attribution.relative_pnl_jpy,attribution.financing_cumulative_log,attribution.financing_annual_log,attribution.financing_pnl_jpy,attribution.spread_cumulative_log,attribution.spread_annual_log,attribution.spread_pnl_jpy,attribution.commission_cumulative_log,attribution.commission_annual_log,attribution.commission_pnl_jpy,attribution.overnight_cumulative_log,attribution.overnight_annual_log,attribution.overnight_pnl_jpy,attribution.net_cumulative_log,attribution.net_annual_log,attribution.annualized_net_log_volatility,result_path,pairs_path
2009,canonical,blocked_input,"ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,ridge,blocked_input,"ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,ppo_ens3,blocked_input,"ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,train_constant,blocked_input,Parent F0 panel incomplete,"[{'policy': 'canonical', 'status': 'blocked_input', 'detail': {'scenario': 'F0', 'fold': '2009', 'policy': 'canonical', 'status': 'blocked_input', 'error': ""ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet""}}, {'policy': 'ridge', 'status': 'blocked_input', 'detail': {'scenario': 'F0', 'fold': '2009', 'policy': 'ridge', 'status': 'blocked_input', 'error': ""ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet""}}, {'policy': 'ppo_ens3', 'status': 'blocked_input', 'detail': {'scenario': 'F0', 'fold': '2009', 'policy': 'ppo_ens3', 'status': 'blocked_input', 'error': ""ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet""}}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,common_projected,blocked_input,Parent F0 panel incomplete,"[{'policy': 'canonical', 'status': 'blocked_input', 'detail': {'scenario': 'F0', 'fold': '2009', 'policy': 'canonical', 'status': 'blocked_input', 'error': ""ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet""}}, {'policy': 'ridge', 'status': 'blocked_input', 'detail': {'scenario': 'F0', 'fold': '2009', 'policy': 'ridge', 'status': 'blocked_input', 'error': ""ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet""}}, {'policy': 'ppo_ens3', 'status': 'blocked_input', 'detail': {'scenario': 'F0', 'fold': '2009', 'policy': 'ppo_ens3', 'status': 'blocked_input', 'error': ""ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet""}}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,canonical,complete,,,docs/research/results/issue29/fold-2010/F0-canonical.json.gz,689a0dae25843bbb9ce575e34c0619ad5f92d1eb87765d8b7514db8ccf3e44d8,87dad83b85a570dd9c0dff19237c6e66c00efa30811de0ef98fb8ad6908ddceb,260.0,0.028485418730877447,0.063641490927241,0.028995660392063295,0.06594319891406393,1.028895008130132,0.16754888617352526,0.12285464556047287,0.03697957845852143,3.2013312310630635,1.2123077103724846,315.200004696846,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.03694753852200064,72898.91905884001,-7024.332470185384,12492.529344148586,0.0,24487.04911437285,339844489.8574817,3.200000047683716,0.0,0.9965776865160849,260.0,,0.0,0.0,0.0,0.07028886213695178,0.07053023872396054,72898.91905883988,-0.006639783000017472,-0.006662584452627422,-7024.3324701853835,-0.011868521334030312,-0.01190927861883124,-12492.529344148585,0.0,0.0,0.0,-0.023295139072025958,-0.023375136115542528,-24487.049114372854,0.028485418730877437,0.028583239536958745,0.1705964163041703,,
2010,ridge,complete,,,docs/research/results/issue29/fold-2010/F0-ridge.json.gz,47bdc0a9a6c1e5376dd3076441c4a13c2bab04e2d7efe06e1721d17422755f56,54530d1fe9e24f3bf5620b609727dec2b4709272b5de420b065e1213ae4ca65a,260.0,0.01457837837342641,0.08693039360280193,0.014735960776270035,0.09114643452397084,1.0146851612072636,0.10284824263501309,0.12173464800344069,0.07231980708864061,3.2009416813562552,5.083076998820672,1321.6000196933746,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0764104737477008,93761.11509339808,-6756.146797494108,49046.59478100537,0.0,23273.212307635236,1322757927.1978421,3.200000047683716,0.0,0.9965776865160849,260.0,,0.0,0.0,0.0,0.09369162344279562,0.09401336665516785,93761.11509339805,-0.0067605108260694585,-0.006783726865994147,-6756.146797494109,-0.04905086164792271,-0.04921930554094442,-49046.59478100537,0.0,0.0,0.0,-0.023301872595377648,-0.023381892762257377,-23273.212307635236,0.014578378373426366,0.014628441485972471,0.14223326632702707,,
2010,ppo_ens3,complete,,,docs/research/results/issue29/fold-2010/F0-ppo_ens3.json.gz,5ad7c3f121aa98ec82cd3c441167fec00a982ceb56574648cd04d7390a446618,cc869d8ed714dbbb0f8982a1b7996a61e319af93642abbfc79bf1523a4bcf450,260.0,0.12920563874006918,0.15203173000461984,0.1384291111147184,0.16480514671423074,1.1379241013860213,0.40815482519876933,0.22485782563344103,0.024762575353462424,1.9063382131026816,0.9120802215126996,237.14085759330192,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.02637603559951235,158715.0166656371,3971.660073845427,9666.78094545081,0.0,15095.794408011618,255922771.3120288,1.9065082225405883,-0.04576135042508703,0.9965776865160849,260.0,,0.1736314700928358,0.1742277320093634,186366.8374390767,-0.0249982340617559,-0.02508407964575918,-27651.820773439384,0.0033998222764014385,0.003411497490262707,3971.660073845427,-0.008889220448943807,-0.008919746618067928,-9666.78094545081,0.0,0.0,0.0,-0.013938199118468322,-0.013986063813243282,-15095.79440801162,0.12920563874006916,0.12964933942255566,0.3176474499827783,,
2010,train_constant,complete,,,docs/research/results/issue30/fold-2010/train_constant.json.gz,8de15ab599c97b925269d7408cb9b57550d5a5fb8d5b9b1fa0c277821d5dfb93,b4cfb1b54a66c08d993ac96cc535c870d0a530bf7da45b9871efc9794d02ad59,260.0,-0.03809189970167254,-0.0353362611377958,-0.03750144083890304,-0.03483635160167859,0.9626244719243323,-0.734142281407528,0.05583427209362102,0.0026720946069197335,0.37305338492227946,0.0014339609286532953,0.37282984144985676,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.002665089237224451,-39581.369652068126,4877.9361833202665,40.59821814014512,0.0,2631.496388779589,1241327.4881332011,0.37282984144985676,-0.3555396720767021,0.9965776865160849,260.0,,-0.04275753770325059,-0.04290436990690186,-41757.33557918364,0.002383567115190289,0.0023917524418221236,2175.9659271154856,0.005037753740518624,0.005055053719023152,4877.9361833202665,-4.1512707824643704e-05,-4.165526520041514e-05,-40.59821814014511,0.0,0.0,0.0,-0.0027141701463073097,-0.0027234907855460022,-2631.496388779589,-0.038091899701672594,-0.038222709796801965,0.05206444413407132,fold-2010/train_constant.json.gz,fold-2010/train_constant-pairs.csv.gz
2010,common_projected,complete,,,docs/research/results/issue30/fold-2010/common_projected.json.gz,562523af9d17a6e8e3dbe90cde82f1799feac118e7b40ae4b39942fc8295e005,9404a37384d217f5060b1a26922ea348eecc0b0fa92a9cb806157b39e45e9cf4,260.0,0.17555189993118236,0.19473381350936098,0.19262261074579776,0.21580029900423428,1.1919038467736562,0.5853908459150222,0.2192089449981547,0.020932538857580837,1.554831057096041,0.833187306092049,216.62869958393276,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.023177688258436524,211316.96535719855,1519.4202740368823,8572.427805460164,0.0,12360.111052120672,233837915.25228494,1.555678061954677,-0.0175510216002854,0.9965776865160849,260.0,,0.19367407805246123,0.1943391676062128,211316.96535719858,3.276847242992428e-17,3.288100152480726e-17,3.4760684368181934e-11,0.0010645819504701808,0.001068237795080312,1519.4202740368833,-0.00781602999247355,-0.007842870754810341,-8572.427805460162,0.0,0.0,0.0,-0.011370730079276473,-0.011409777916087174,-12360.111052120676,0.17555189993118256,0.17615475673039677,0.30091819501387956,fold-2010/common_projected.json.gz,fold-2010/common_projected-pairs.csv.gz
