fold,era,policy,years,decisions,mean_tail_spread,annualized_gross_return,annualized_net_return,gross_cumulative_log_return,cumulative_log_return,total_cost_ratio,max_abs_accounting_residual,scaled_tail_spread,weighted_price_log_return,price_log_return,gross_log_return,net_log_return
2009,2009-2018,supervised,0.7475473420031942,195,0.00017787139513942876,0.06691467424158017,-0.007678201497975515,0.04841938979601178,-0.005761968315223354,0.055456436540502835,2.487159783681747e-16,0.07423727189610509,0.07423727300232666,0.06516000694137276,0.06477100121346548,-0.007707830650274365
2009,2009-2018,reversal,0.7475473420031942,195,0.0003374272455019306,0.1258619179361349,0.08627814646118885,0.08862090880583634,0.061865006261101294,0.028141991432343055,3.126839065448195e-16,0.14083027880815144,0.14083028090668612,0.13321207120625725,0.11854889159041071,0.08275730884859056
2009,2009-2018,ppo,0.7475473420031942,195,-0.00022633555473512316,-0.20968935079039566,-0.23199223685295273,-0.1759197059702251,-0.1973191858009945,0.0202538418870474,2.0816681711721685e-16,-0.09446450961637781,-0.11304178193277803,-0.21304629689066318,-0.23532918396688438,-0.2639554376211686
2010,2009-2018,supervised,0.7530230435774583,197,0.0003549186053350986,0.1386683795964192,0.05877525730420904,0.09778718959188021,0.043007271408835965,0.05660025050432265,2.957703526540456e-16,0.14856164808735464,0.1485616503010957,0.13618033593132353,0.1298594915864902,0.05711282247687564
2010,2009-2018,reversal,0.7530230435774583,197,2.1393829067570726e-05,-0.019737262688150563,-0.05379045032027897,-0.015011246261299127,-0.04163556515528391,0.026028106195207512,2.0816681711721685e-16,0.008955018016529894,0.008955018149970038,-0.013648694592200722,-0.019934643951908523,-0.055291223170916344
2010,2009-2018,ppo,0.7530230435774583,197,-0.00029111495238857017,0.16299453714879372,0.13769744158011207,0.11370510630634537,0.09714481591213049,0.017556109858400493,2.896988204881268e-16,-0.12185474770725088,0.20450723466918658,0.14814678079947052,0.15099817631895524,0.1290064317960515
2011,2009-2018,supervised,0.7502851927903262,195,0.0003004820591774581,0.11087203164000899,0.03322011819889073,0.07888897742332092,0.02451951051315995,0.05559586334730079,2.5326962749261384e-16,0.12495302234968451,0.12495302421162963,0.11287737398085135,0.10514532098112075,0.03268025378719175
2011,2009-2018,reversal,0.7502851927903262,195,0.0007332308941027198,0.3273496302836547,0.2791723840929927,0.21246890823728282,0.1847301886696449,0.02979075354088105,3.2742905609062234e-16,0.30490810848772765,0.30490811303121257,0.28750730907357086,0.2831841948620984,0.24621329388446211
2011,2009-2018,ppo,0.7502851927903262,195,-0.0003723515163197873,0.4510083504385274,0.42200668948742576,0.2793002121353607,0.26415218428882037,0.0174164629554714,2.706168622523819e-16,-0.15483935203322,0.3926476930657503,0.3678760934157993,0.37225872883967953,0.35206903565087416
2012,2009-2018,supervised,0.7612365959388546,197,4.943761103010859e-05,0.012903495286163308,-0.058199937026934705,0.009759779741902237,-0.04564547757905064,0.05569110586367639,2.1337098754514727e-16,0.020470291470251284,0.02047029177528231,0.015984943979849762,0.012820954475875172,-0.05996227430810099
2012,2009-2018,reversal,0.7612365959388546,197,-0.00018336297560491842,-0.07896573413956424,-0.1106533907837594,-0.06261782910880771,-0.08926887036505793,0.025044799050942354,2.185751579730777e-16,-0.07592384577805122,-0.07592384690940471,-0.08234433343001789,-0.08225803835873047,-0.11726823282183393
2012,2009-2018,ppo,0.7612365959388546,197,0.00014300970052608214,0.48697908092261816,0.4422795185901192,0.3020180307814042,0.27878376652560366,0.02648520917152157,2.411265631607762e-16,0.05921504279523862,0.440005834391965,0.40236422160422003,0.39674659940503365,0.366224860986579
2013,2009-2018,supervised,0.7530230435774583,196,0.00023496846189552427,0.09852211678328303,0.01892208307640017,0.0707583722417931,0.014115633228711323,0.05743845610396482,2.671474153004283e-16,0.0978537247683269,0.09785372622646094,0.09041998954417901,0.09396574626140863,0.018745287211465456
2013,2009-2018,reversal,0.7530230435774583,196,0.0003885193176501613,0.1728700843723843,0.13022826362394735,0.12007239220686386,0.09218479148102326,0.0303264053019441,3.447762908503904e-16,0.16180070325106563,0.161800705662084,0.14937259176202594,0.15945380852679422,0.12241961553138161
2013,2009-2018,ppo,0.7530230435774583,196,3.6123400440043307e-05,0.9470929500000372,0.8860130048605047,0.501767466217752,0.47776682532893017,0.03293004635902615,3.1138286393783687e-16,0.015043760578931482,0.7241966852240717,0.6579078334623126,0.6663374653635532,0.6344650796596579
