fold,policy,status,result_path,pairs_path,source_result_path,source_result_sha256,source_pairs_sha256,coverage.measurement_start,coverage.measurement_end,coverage.first_decision,coverage.last_mark,coverage.planned_last_mark,coverage.initial_flat_seconds,coverage.trailing_coverage_gap_seconds,coverage.elapsed_seconds,metrics.steps,metrics.cumulative_log_return,metrics.gross_cumulative_log_return,metrics.annualized_net_return,metrics.annualized_gross_return,metrics.final_equity_ratio,metrics.sharpe_annualized,metrics.max_drawdown,metrics.total_cost_ratio,metrics.mean_gross_leverage,metrics.mean_weight_turnover,metrics.total_weight_turnover,metrics.terminated_by_margin_call,metrics.eval_start,metrics.eval_end,metrics.annualized_gross_minus_net,metrics.total_price_pnl_jpy,metrics.total_financing_jpy,metrics.total_spread_jpy,metrics.total_commission_jpy,metrics.total_overnight_jpy,metrics.total_actual_traded_notional_jpy,metrics.mean_target_gross_exposure,metrics.mean_target_net_exposure,metrics.period_net_return,metrics.period_gross_return,metrics.annualized_net_volatility,attribution.elapsed_years,attribution.steps,attribution.log_undefined_reason,attribution.common_cumulative_log,attribution.common_annual_log,attribution.common_pnl_jpy,attribution.relative_cumulative_log,attribution.relative_annual_log,attribution.relative_pnl_jpy,attribution.financing_cumulative_log,attribution.financing_annual_log,attribution.financing_pnl_jpy,attribution.spread_cumulative_log,attribution.spread_annual_log,attribution.spread_pnl_jpy,attribution.commission_cumulative_log,attribution.commission_annual_log,attribution.commission_pnl_jpy,attribution.overnight_cumulative_log,attribution.overnight_annual_log,attribution.overnight_pnl_jpy,attribution.net_cumulative_log,attribution.net_annual_log,attribution.annualized_net_log_volatility
2009,canonical,complete,canonical.json.gz,canonical-pairs.csv.gz,docs/research/results/issue30-successor/fold-2009/canonical.json.gz,3a7d5f4af30ab7a551cae1b53802d9076bfa95f1d869035434a2a46119f0e485,e4aa89c0d0482b1941a0b695710a2a014bb0754ecef3298e9b6e029769e22428,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,-0.005530593351301582,0.018165603111294008,-0.008415009450731686,0.028145414604205318,0.9944846722245788,-0.05027613898293384,0.13656967133632725,0.02334691500622723,3.1989852551071607,1.2631579135593616,216.00000321865082,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.03656042405493701,26163.93624783072,-8332.34901702433,8306.28364213202,0.0,15040.631364095218,218039989.19017658,3.200000047683716,0.0,-0.005515327775421186,0.0183316013085085,0.16759182529229066,0.6544604152407028,171,,0.0,0.0,0.0,0.02680925661163754,0.04096390856852269,26163.9362478307,-0.008643602850177347,-0.0132072202518136,-8332.349017024331,-0.008397500794365402,-0.012831182144571572,-8306.283642132019,0.0,0.0,0.0,-0.015298746318394476,-0.023376121705951887,-15040.631364095218,-0.005530593351301606,-0.008450615533817304,0.16808401967155465
2009,ridge,complete,ridge.json.gz,ridge-pairs.csv.gz,docs/research/results/issue30-successor/fold-2009/ridge.json.gz,55938e9f11823b2b78c97ecc87b2f2330ac256c59d17a33353a1b4f80dc54535,12bd9054443b1767227c3bf12a9705a1fc54ed829ec4815dc101cf8d60245a08,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,0.01664506503505049,0.06397803544119494,0.025759449713420094,0.10269471115812884,1.0167843659477211,0.19211992250798393,0.09217370252771728,0.0500153875250992,3.1994681691029845,5.09941528066557,872.0000129938126,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.07693526144470875,66786.86722868156,12.88624414004029,33852.50682582356,0.0,16162.880699275647,922180551.9700692,3.200000047683716,0.0,0.016784365947721147,0.06606898276948293,0.13199458518116433,0.6544604152407028,171,,0.0,0.0,0.0,0.06398256881323026,0.09776384839058332,66786.86722868159,3.557372885931056e-06,5.435581439440759e-06,12.88624414003985,-0.03204360405298479,-0.048961867374667005,-33852.50682582356,0.0,0.0,0.0,-0.015297457098080303,-0.023374151807873788,-16162.880699275647,0.0166450650350505,0.025433264789481033,0.13238223531151014
2009,ppo_ens3,complete,ppo_ens3.json.gz,ppo_ens3-pairs.csv.gz,docs/research/results/issue30-successor/fold-2009/ppo_ens3.json.gz,19442fbbd526c523b8bca890ed0fd2f3363a70844122a392d7f578e04361f9f9,5da11b323f742c12fe9d53e05157d9f796ee568af0c941c036aa947c6813340e,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,-0.21137541071402682,-0.19239408496353694,-0.27600921657560745,-0.25470383372386773,0.8094701260755154,-0.6026671868071769,0.3325743967935574,0.0174078104764066,2.7289611697494016,0.936399767627705,160.12436026433755,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.021305382851739718,-160314.85222668166,-12807.211221395573,5438.569191123575,0.0,11969.241285283022,146914587.13007206,2.7269314160735254,2.1642673353042334,-0.19052987392448462,-0.17501830845761243,0.5343427732797436,0.6544604152407028,171,,-0.15187841906188274,-0.23206662393175248,-134605.33008104184,-0.0266670413774727,-0.040746607062040384,-25709.522145639967,-0.013870317084868298,-0.021193515699138136,-12807.211221395573,-0.005923420339823168,-0.009050845860012183,-5438.569191123575,0.0,0.0,0.0,-0.013036212849978634,-0.019919024201309518,-11969.24128528302,-0.21137541071402682,-0.32297661675425465,0.5359120652732517
2009,train_constant,complete,train_constant.json.gz,train_constant-pairs.csv.gz,docs/research/results/issue30-successor/fold-2009/train_constant.json.gz,ca9fde9c2cf398054bb65b4e97ab560d0b7de00b14c94f5581abcc509d155949,e9ae7b688caf0a55362b435d5534b0cae770eba85efda79c01602255203042b4,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,0.028635799713419535,0.030989010219736515,0.04472618078909772,0.048489411920468524,1.029049746006914,0.508288589937066,0.04794693438780817,0.0023860253235456416,0.48070540950468427,0.002812415154443847,0.4809229914098978,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.003763231131370802,27404.911859023232,4030.8594714358314,55.18695185972251,0.0,2330.83837168592,1544924.1158657467,0.4809229914098978,-0.4809229914098978,0.0290497460069139,0.031474168149778776,0.08583056617820098,0.6544604152407028,171,,0.015059961992621853,0.02301126491673752,15269.210908303996,0.01195330465508601,0.018264366150685715,12135.700950719269,0.0039761268366674905,0.00607542754928137,4030.8594714358314,-5.470544684492222e-05,-8.358862594432425e-05,-55.18695185972253,0.0,0.0,0.0,-0.0022988883241106305,-0.003512646862324174,-2330.83837168592,0.02863579971341955,0.043754823128435726,0.08608263886831147
2009,common_projected,complete,common_projected.json.gz,common_projected-pairs.csv.gz,docs/research/results/issue30-successor/fold-2009/common_projected.json.gz,de722e569273ac5671305a3453516e17266d7c8c39c5ed1026b9750de4b341b0,0037e249506053d15485c32981453f61f219f6e9f7ee492065f7f3470a119be6,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,-0.16556761568241884,-0.1480541417979473,-0.22351922237799868,-0.20245994424298927,0.847412562889014,-0.5039400451650174,0.2957937941471045,0.016649643043075587,2.535976882684074,0.8648686497880701,147.89253911376,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.021059278135009407,-127396.5735336608,-8541.22053424822,5155.807057763249,0.0,11493.835985312333,140603141.23722827,2.5347060754633786,2.1367679665093884,-0.152587437110986,-0.13761557736510907,0.5005408721194653,0.6544604152407028,171,,-0.1391328146803668,-0.2125916425811566,-127396.5735336608,-2.058851167208972e-17,-3.145875776843969e-17,-1.9984156157535036e-11,-0.008939996193094994,-0.013660102253559476,-8541.22053424822,-0.005408345302067606,-0.008263823412571838,-5155.80705776325,0.0,0.0,0.0,-0.012086459506888502,-0.018467823607701692,-11493.835985312333,-0.16556761568241884,-0.252983391854991,0.5020108925301829
2010,canonical,complete,canonical.json.gz,canonical-pairs.csv.gz,docs/research/results/issue30-successor/fold-2010/canonical.json.gz,e40d94fde3dfa0fbef9fa6d7d3a9d680ce6b9a0a0c1415e15f6a94c5b94f41b7,c120f8e53b5f669fd799208af7db8411d47fbddf7bd619f32e513dded892f679,2010-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260,0.028485418730877447,0.063641490927241,0.028995660392063295,0.06594319891406393,1.028895008130132,0.16754888617352526,0.12285464556047287,0.03697957845852143,3.2013312310630635,1.2123077103724846,315.200004696846,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.03694753852200064,72898.91905884001,-7024.332470185384,12492.529344148586,0.0,24487.04911437285,339844489.8574817,3.200000047683716,0.0,0.028895008130132016,0.06571026346772771,0.17026803021276232,0.9965776865160849,260,,0.0,0.0,0.0,0.07028886213695178,0.07053023872396054,72898.91905883988,-0.006639783000017472,-0.006662584452627422,-7024.3324701853835,-0.011868521334030312,-0.01190927861883124,-12492.529344148585,0.0,0.0,0.0,-0.023295139072025958,-0.023375136115542528,-24487.049114372854,0.028485418730877437,0.028583239536958745,0.1705964163041703
2010,ridge,complete,ridge.json.gz,ridge-pairs.csv.gz,docs/research/results/issue30-successor/fold-2010/ridge.json.gz,eddea0fef6cb5f7924fa6c5a3b899ce100917991557ac5f7752fcd533c0e9abb,26ef6396137c2635f0356115811cf88cc2e108da202f512fcec22193b2c495ad,2010-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260,0.01457837837342641,0.08693039360280193,0.014735960776270035,0.09114643452397084,1.0146851612072636,0.10284824263501309,0.12173464800344069,0.07231980708864061,3.2009416813562552,5.083076998820672,1321.6000196933746,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0764104737477008,93761.11509339808,-6756.146797494108,49046.59478100537,0.0,23273.212307635236,1322757927.1978421,3.200000047683716,0.0,0.014685161207263597,0.09082074897335067,0.14195947730256103,0.9965776865160849,260,,0.0,0.0,0.0,0.09369162344279562,0.09401336665516785,93761.11509339805,-0.0067605108260694585,-0.006783726865994147,-6756.146797494109,-0.04905086164792271,-0.04921930554094442,-49046.59478100537,0.0,0.0,0.0,-0.023301872595377648,-0.023381892762257377,-23273.212307635236,0.014578378373426366,0.014628441485972471,0.14223326632702707
2010,ppo_ens3,complete,ppo_ens3.json.gz,ppo_ens3-pairs.csv.gz,docs/research/results/issue30-successor/fold-2010/ppo_ens3.json.gz,f740a2fabbfd6a20ef23c348bee544cab9fcc6c5f489c344dce917bfa33b1e43,86a8b4fc211fe05436ca0f69124d83160e187cc61c0dd09b4774cfa4aaa2ff49,2010-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260,0.12920563874006918,0.15203173000461984,0.1384291111147184,0.16480514671423074,1.1379241013860213,0.40815482519876933,0.22485782563344103,0.024762575353462424,1.9063382131026816,0.9120802215126996,237.14085759330192,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.02637603559951235,158715.0166656371,3971.660073845427,9666.78094545081,0.0,15095.794408011618,255922771.3120288,1.9065082225405883,-0.04576135042508703,0.1379241013860213,0.16419717582783305,0.317036001003923,0.9965776865160849,260,,0.1736314700928358,0.1742277320093634,186366.8374390767,-0.0249982340617559,-0.02508407964575918,-27651.820773439384,0.0033998222764014385,0.003411497490262707,3971.660073845427,-0.008889220448943807,-0.008919746618067928,-9666.78094545081,0.0,0.0,0.0,-0.013938199118468322,-0.013986063813243282,-15095.79440801162,0.12920563874006916,0.12964933942255566,0.3176474499827783
2010,train_constant,complete,train_constant.json.gz,train_constant-pairs.csv.gz,docs/research/results/issue30-successor/fold-2010/train_constant.json.gz,f1c3b9d48885ec2f0ce1661dc20883e821a879a5b84b516935295b32e8f4b872,b4cfb1b54a66c08d993ac96cc535c870d0a530bf7da45b9871efc9794d02ad59,2010-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260,-0.03809189970167254,-0.0353362611377958,-0.03750144083890304,-0.03483635160167859,0.9626244719243323,-0.734142281407528,0.05583427209362102,0.0026720946069197335,0.37305338492227946,0.0014339609286532953,0.37282984144985676,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.002665089237224451,-39581.369652068126,4877.9361833202665,40.59821814014512,0.0,2631.496388779589,1241327.4881332011,0.37282984144985676,-0.3555396720767021,-0.037375528075667686,-0.03471922473323264,0.051964223744446994,0.9965776865160849,260,,-0.04275753770325059,-0.04290436990690186,-41757.33557918364,0.002383567115190289,0.0023917524418221236,2175.9659271154856,0.005037753740518624,0.005055053719023152,4877.9361833202665,-4.1512707824643704e-05,-4.165526520041514e-05,-40.59821814014511,0.0,0.0,0.0,-0.0027141701463073097,-0.0027234907855460022,-2631.496388779589,-0.038091899701672594,-0.038222709796801965,0.05206444413407132
2010,common_projected,complete,common_projected.json.gz,common_projected-pairs.csv.gz,docs/research/results/issue30-successor/fold-2010/common_projected.json.gz,7531ae4211550a4734df863642f90c56dffdad05abbc35a1c0f3346979ae5fad,9404a37384d217f5060b1a26922ea348eecc0b0fa92a9cb806157b39e45e9cf4,2010-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260,0.17555189993118236,0.19473381350936098,0.19262261074579776,0.21580029900423428,1.1919038467736562,0.5853908459150222,0.2192089449981547,0.020932538857580837,1.554831057096041,0.833187306092049,216.62869958393276,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.023177688258436524,211316.96535719855,1519.4202740368823,8572.427805460164,0.0,12360.111052120672,233837915.25228494,1.555678061954677,-0.0175510216002854,0.19190384677365624,0.21498753017496255,0.3003389486731008,0.9965776865160849,260,,0.19367407805246123,0.1943391676062128,211316.96535719858,3.276847242992428e-17,3.288100152480726e-17,3.4760684368181934e-11,0.0010645819504701808,0.001068237795080312,1519.4202740368833,-0.00781602999247355,-0.007842870754810341,-8572.427805460162,0.0,0.0,0.0,-0.011370730079276473,-0.011409777916087174,-12360.111052120676,0.17555189993118256,0.17615475673039677,0.30091819501387956
