pair,side,start_timestamp,last_decision_timestamp,end_timestamp,duration_decisions,right_censored,fold,era,policy
JPY/USD,short,2009-08-10T00:00:00+01:00,2009-08-10T00:00:00+01:00,2009-08-11T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-08-13T00:00:00+01:00,2009-08-14T00:00:00+01:00,2009-08-17T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/USD,short,2009-08-19T00:00:00+01:00,2009-08-19T00:00:00+01:00,2009-08-20T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-08-26T00:00:00+01:00,2009-08-26T00:00:00+01:00,2009-08-27T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-09-07T00:00:00+01:00,2009-09-07T00:00:00+01:00,2009-09-08T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-09-10T00:00:00+01:00,2009-09-11T00:00:00+01:00,2009-09-14T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/USD,long,2009-09-15T00:00:00+01:00,2009-09-15T00:00:00+01:00,2009-09-16T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-09-21T00:00:00+01:00,2009-09-21T00:00:00+01:00,2009-09-22T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-09-22T00:00:00+01:00,2009-09-22T00:00:00+01:00,2009-09-23T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-09-24T00:00:00+01:00,2009-09-24T00:00:00+01:00,2009-09-25T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-09-29T00:00:00+01:00,2009-09-29T00:00:00+01:00,2009-09-30T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-10-02T00:00:00+01:00,2009-10-02T00:00:00+01:00,2009-10-05T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-10-08T00:00:00+01:00,2009-10-09T00:00:00+01:00,2009-10-12T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/USD,long,2009-10-13T00:00:00+01:00,2009-10-13T00:00:00+01:00,2009-10-14T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-10-14T00:00:00+01:00,2009-10-14T00:00:00+01:00,2009-10-15T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-10-15T00:00:00+01:00,2009-10-15T00:00:00+01:00,2009-10-16T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-10-19T00:00:00+01:00,2009-10-19T00:00:00+01:00,2009-10-20T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-10-21T00:00:00+01:00,2009-10-21T00:00:00+01:00,2009-10-22T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-10-23T00:00:00+01:00,2009-10-26T00:00:00+00:00,2009-10-27T00:00:00+00:00,2,False,2009,2009-2018,supervised
JPY/USD,short,2009-10-29T00:00:00+00:00,2009-10-29T00:00:00+00:00,2009-10-30T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-11-02T00:00:00+00:00,2009-11-02T00:00:00+00:00,2009-11-03T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-11-03T00:00:00+00:00,2009-11-03T00:00:00+00:00,2009-11-04T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-11-04T00:00:00+00:00,2009-11-04T00:00:00+00:00,2009-11-05T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-11-06T00:00:00+00:00,2009-11-09T00:00:00+00:00,2009-11-10T00:00:00+00:00,2,False,2009,2009-2018,supervised
JPY/USD,long,2009-11-16T00:00:00+00:00,2009-11-16T00:00:00+00:00,2009-11-17T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-11-17T00:00:00+00:00,2009-11-17T00:00:00+00:00,2009-11-18T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-11-18T00:00:00+00:00,2009-11-18T00:00:00+00:00,2009-11-19T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-11-24T00:00:00+00:00,2009-11-24T00:00:00+00:00,2009-11-25T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-11-25T00:00:00+00:00,2009-11-25T00:00:00+00:00,2009-11-26T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-11-26T00:00:00+00:00,2009-11-26T00:00:00+00:00,2009-11-27T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-12-01T00:00:00+00:00,2009-12-01T00:00:00+00:00,2009-12-02T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-12-02T00:00:00+00:00,2009-12-02T00:00:00+00:00,2009-12-03T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-12-03T00:00:00+00:00,2009-12-03T00:00:00+00:00,2009-12-04T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-12-04T00:00:00+00:00,2009-12-04T00:00:00+00:00,2009-12-07T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-12-08T00:00:00+00:00,2009-12-09T00:00:00+00:00,2009-12-10T00:00:00+00:00,2,False,2009,2009-2018,supervised
JPY/USD,short,2009-12-10T00:00:00+00:00,2009-12-10T00:00:00+00:00,2009-12-11T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-12-11T00:00:00+00:00,2009-12-11T00:00:00+00:00,2009-12-14T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-12-15T00:00:00+00:00,2009-12-15T00:00:00+00:00,2009-12-16T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-12-21T00:00:00+00:00,2009-12-22T00:00:00+00:00,2009-12-23T00:00:00+00:00,2,False,2009,2009-2018,supervised
JPY/USD,long,2009-12-23T00:00:00+00:00,2009-12-23T00:00:00+00:00,2009-12-24T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-12-24T00:00:00+00:00,2009-12-24T00:00:00+00:00,2009-12-25T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-12-28T00:00:00+00:00,2009-12-29T00:00:00+00:00,2009-12-30T00:00:00+00:00,2,False,2009,2009-2018,supervised
JPY/USD,short,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,2010-01-01T00:00:00+00:00,1,True,2009,2009-2018,supervised
JPY/EUR,short,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/EUR,long,2009-04-08T00:00:00+01:00,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-04-13T00:00:00+01:00,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-04-16T00:00:00+01:00,2009-04-16T00:00:00+01:00,2009-04-17T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-04-20T00:00:00+01:00,2009-04-20T00:00:00+01:00,2009-04-21T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-04-22T00:00:00+01:00,2009-04-23T00:00:00+01:00,2009-04-24T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/EUR,long,2009-04-27T00:00:00+01:00,2009-04-28T00:00:00+01:00,2009-04-29T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/EUR,short,2009-04-29T00:00:00+01:00,2009-04-29T00:00:00+01:00,2009-04-30T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-04-30T00:00:00+01:00,2009-04-30T00:00:00+01:00,2009-05-01T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-05-01T00:00:00+01:00,2009-05-01T00:00:00+01:00,2009-05-04T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-05-06T00:00:00+01:00,2009-05-06T00:00:00+01:00,2009-05-07T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-05-08T00:00:00+01:00,2009-05-08T00:00:00+01:00,2009-05-11T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-05-12T00:00:00+01:00,2009-05-14T00:00:00+01:00,2009-05-15T00:00:00+01:00,3,False,2009,2009-2018,supervised
JPY/EUR,long,2009-05-15T00:00:00+01:00,2009-05-15T00:00:00+01:00,2009-05-18T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-05-18T00:00:00+01:00,2009-05-18T00:00:00+01:00,2009-05-19T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-05-19T00:00:00+01:00,2009-05-20T00:00:00+01:00,2009-05-21T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/EUR,short,2009-05-25T00:00:00+01:00,2009-05-26T00:00:00+01:00,2009-05-27T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/EUR,long,2009-05-27T00:00:00+01:00,2009-05-28T00:00:00+01:00,2009-05-29T00:00:00+01:00,2,False,2009,2009-2018,supervised
