fold,era,policy,state,decisions,mean_price_simple_return,mean_carry_simple_return,mean_gross_simple_return,mean_net_simple_return,mean_cost_ratio
2009,2009-2018,supervised,initial_entry,1,0.0037991231689083883,-0.00015030884515091189,0.0036488143237574768,0.003364814319525511,0.00028400000423192977
2009,2009-2018,supervised,membership_changed,194,0.0002678467033762868,-7.68760550667833e-07,0.0002670779428256188,-1.0765556304348157e-05,0.000277843499129965
2009,2009-2018,supervised,membership_retained,0,,,,,
2009,2009-2018,reversal,initial_entry,1,0.005062929769749194,-0.00025768920527273904,0.004805240564476455,0.00449324055982725,0.0003120000046491623
2009,2009-2018,reversal,membership_changed,115,0.0002444677765735983,-4.527870221447918e-05,0.00019918907435911918,3.2814111486744324e-05,0.0001663749628723791
2009,2009-2018,reversal,membership_retained,79,0.000985290342795274,-6.989344428593755e-05,0.0009153968985093367,0.000822762301119018,9.263459739031169e-05
2010,2009-2018,supervised,initial_entry,1,-0.011370669799941419,4.532506616529271e-05,-0.011325344733776126,-0.011505344736458256,0.000180000002682209
2010,2009-2018,supervised,membership_changed,196,0.00062317645041808,-2.4513112071038827e-05,0.0005986633383470413,0.0003201001385602727,0.00027856319978676505
2010,2009-2018,supervised,membership_retained,0,,,,,
2010,2009-2018,reversal,initial_entry,1,0.002288767824983974,-7.739897450771594e-05,0.002211368850476258,0.0020233688476747336,0.0001880000028014183
2010,2009-2018,reversal,membership_changed,111,0.0006670426687110897,-3.1348252377657434e-05,0.0006356944163334324,0.0004695304580539244,0.00016616395827950727
2010,2009-2018,reversal,membership_retained,85,-0.0008853936560650642,-1.3873818209515709e-05,-0.00089926747427458,-0.0009932901712028821,9.402269692829649e-05
2011,2009-2018,supervised,initial_entry,1,-4.8161000152642346e-05,-2.416563797515854e-05,-7.232663812780076e-05,-0.0002523266408100966,0.000180000002682209
2011,2009-2018,supervised,membership_changed,194,0.000497149144409279,-2.980661411167421e-05,0.0004673425302976046,0.00018800345077320415,0.0002793390795244124
2011,2009-2018,supervised,membership_retained,0,,,,,
2011,2009-2018,reversal,initial_entry,1,-0.004928324555918863,-9.313476914488883e-05,-0.005021459325063753,-0.005165459327209465,0.0001440000021457672
2011,2009-2018,reversal,membership_changed,128,0.0014070442131890774,-2.2014847419726316e-05,0.0013850293657693513,0.0012118897384855,0.0001731396272838393
2011,2009-2018,reversal,membership_retained,66,0.0007977863584845318,-4.422768750609289e-06,0.0007933635897339223,0.0007107836901878305,8.257989954609459e-05
2012,2009-2018,supervised,initial_entry,1,-0.00209663949888481,9.663493589521443e-05,-0.0020000045629895956,-0.0021800045656718003,0.000180000002682209
2012,2009-2018,supervised,membership_changed,196,9.070897650958344e-05,-1.2791432627542265e-05,7.791754388204114e-05,-0.0002038203567989778,0.00028173790068101816
2012,2009-2018,supervised,membership_retained,0,,,,,
2012,2009-2018,reversal,initial_entry,1,-0.006005913711417063,0.00013232631355764276,-0.00587358739785942,-0.006029587400184,0.00015600000232458114
2012,2009-2018,reversal,membership_changed,109,0.00018744910476070216,-8.961866383669201e-06,0.00017848723837703292,7.2398541434220106e-06,0.0001712473842336149
2012,2009-2018,reversal,membership_retained,87,-0.0008426995821551147,1.051872459679052e-05,-0.0008321808575583242,-0.0009220100886192594,8.982923106093937e-05
2013,2009-2018,supervised,initial_entry,1,0.0006126689657901347,-6.575447353489529e-06,0.0006060935184366446,0.000410093515516019,0.0001960000029206276
2013,2009-2018,supervised,membership_changed,195,0.00037475722640745716,1.3694067839174751e-05,0.0003884512942466319,9.886707567141549e-05,0.0002895842185752128
2013,2009-2018,supervised,membership_retained,0,,,,,
2013,2009-2018,reversal,initial_entry,1,0.005353961033959428,-4.572690389671446e-05,0.005308234130062714,0.005124234127320992,0.00018400000274181367
2013,2009-2018,reversal,membership_changed,131,0.00033172127024542916,3.259495594412657e-05,0.0003643162261895558,0.0001952876358980542,0.000169028590291502
2013,2009-2018,reversal,membership_retained,64,0.001103506281810528,5.2393454495365007e-05,0.0011558997363058936,0.0010688512720640163,8.70484642418778e-05
2014,2009-2018,supervised,initial_entry,1,-0.0015060794848005448,-6.561655228541826e-06,-0.0015126411400290863,-0.001688641142651659,0.00017600000262260436
2014,2009-2018,supervised,membership_changed,197,0.0005938927922799055,-1.6316337300050355e-05,0.0005775764549798551,0.00028134181602855956,0.0002962346389512977
2014,2009-2018,supervised,membership_retained,0,,,,,
2014,2009-2018,reversal,initial_entry,1,-0.00047639584758556045,-0.00010717718670668301,-0.0005835730342922435,-0.0007395730366167586,0.00015600000232458114
2014,2009-2018,reversal,membership_changed,114,-0.00021638078325284928,4.069297892289967e-07,-0.00021597385346362044,-0.0003803181473610292,0.00016434429389741232
2014,2009-2018,reversal,membership_retained,83,0.00018090830764938597,3.4491934727828185e-05,0.00021540024237721406,0.00012582784228462162,8.9572400092598e-05
2015,2009-2018,supervised,initial_entry,1,0.005729289349337406,-4.0500855150839465e-05,0.005688788494186566,0.005472788490967995,0.00021600000321865082
2015,2009-2018,supervised,membership_changed,197,-1.0004718940034133e-05,-1.3019678012989776e-06,-1.1306686741333025e-05,-0.0002940219374982349,0.00028271525075690814
2015,2009-2018,supervised,membership_retained,0,,,,,
2015,2009-2018,reversal,initial_entry,1,-0.005647914495688405,-5.727758709227699e-05,-0.005705192082780683,-0.005881192085403275,0.00017600000262260436
2015,2009-2018,reversal,membership_changed,119,0.0014216829819095264,2.2505633022767575e-05,0.0014441886149322944,0.0012744327168109687,0.00016975589812132718
2015,2009-2018,reversal,membership_retained,78,-0.0010423654029077167,4.528471376788052e-05,-0.0009970806891398364,-0.001090089099736829,9.300841059699658e-05
2016,2009-2018,supervised,initial_entry,1,-0.005666840379225849,-0.00011353767617753829,-0.005780378055403388,-0.005952378057966445,0.00017200000256299973
2016,2009-2018,supervised,membership_changed,196,-0.0003933619688445363,-9.180305546946777e-06,-0.00040254227439148315,-0.0006765485853960826,0.00027400631100460535
2016,2009-2018,supervised,membership_retained,0,,,,,
2016,2009-2018,reversal,initial_entry,1,-0.0061266832085203095,-6.883334401729357e-05,-0.006195516552537604,-0.006351516554862102,0.00015600000232458114
2016,2009-2018,reversal,membership_changed,104,0.0001531380356785094,-3.151966922823107e-05,0.00012161836645027843,-3.928825645716911e-05,0.0001609066229074459
2016,2009-2018,reversal,membership_retained,92,0.00016970764983610008,-5.2183913473967846e-05,0.00011752373636213222,2.596888958020721e-05,9.155484678191432e-05
2017,2009-2018,supervised,initial_entry,1,-0.007267813848926147,-4.6363100881291144e-05,-0.007314176949807438,-0.0075341769530856695,0.00022000000327825547
2017,2009-2018,supervised,membership_changed,194,3.4940095030695926e-05,-1.0144741130382826e-05,2.4795353900313113e-05,-0.0002468923640531836,0.00027168771795348757
2017,2009-2018,supervised,membership_retained,0,,,,,
2017,2009-2018,reversal,initial_entry,1,0.0020035073058482615,9.271212617010448e-05,0.0020962194320183663,0.0018842194288593017,0.00021200000315904616
2017,2009-2018,reversal,membership_changed,104,-0.00039501592482513143,3.1462096378422886e-05,-0.00036355382844670844,-0.0005324442180595474,0.00016889038961282797
2017,2009-2018,reversal,membership_retained,90,0.00024516708433048917,2.703222229652931e-05,0.00027219930662701836,0.00018608152714582295,8.611777948120989e-05
2018,2009-2018,supervised,initial_entry,1,-0.000469457437363719,-5.329351765449001e-05,-0.0005227509550182097,-0.0007227509579984526,0.00020000000298023223
2018,2009-2018,supervised,membership_changed,197,8.015583707358511e-05,-1.1303105172097875e-05,6.885273190148713e-05,-0.0001975784057630619,0.00026643113766454434
2018,2009-2018,supervised,membership_retained,0,,,,,
2018,2009-2018,reversal,initial_entry,1,0.002636328857988576,-7.686722569222747e-05,0.0025594616322963475,0.002383461629673622,0.00017600000262260436
2018,2009-2018,reversal,membership_changed,107,-0.00031895508873584354,4.212086973001705e-06,-0.00031474300176284186,-0.00047934986492827555,0.00016460686316544223
2018,2009-2018,reversal,membership_retained,90,-0.0008234293383647731,-1.7968775180039355e-05,-0.0008413981135448127,-0.0009289546149953624,8.75565014505606e-05
2019,2019-2025,supervised,initial_entry,1,0.006567907952209414,-0.00010981322341620372,0.006458094728793211,0.006160761391029279,0.0002973333377639453
2019,2019-2025,supervised,membership_changed,196,-0.0003680883797380625,-8.60737091036357e-06,-0.0003766957506484258,-0.0006511414901596619,0.00027444573951122884
2019,2019-2025,supervised,membership_retained,0,,,,,
2019,2019-2025,reversal,initial_entry,1,0.009012098992802845,0.0003086563460251991,0.009320755338828045,0.008995422000646736,0.0003253333381811778
2019,2019-2025,reversal,membership_changed,119,-4.98977228551084e-05,3.7336362091231612e-06,-4.6164086645985065e-05,-0.00021531123145611104,0.00016914714481011773
2019,2019-2025,reversal,membership_retained,77,-0.00026685935960541276,5.61933483542692e-06,-0.0002612400247699859,-0.0003458340795810843,8.45940548110894e-05
2020,2019-2025,supervised,initial_entry,1,-0.006781566893146982,6.052368665632272e-07,-0.006780961656280419,-0.0069889616593799,0.00020800000309944153
2020,2019-2025,supervised,membership_changed,192,0.0004524628260082859,-3.877079091599344e-06,0.00044858574691668653,0.00019047830937558274,0.0002581074375410934
2020,2019-2025,supervised,membership_retained,6,-0.003564724711156103,-6.366716572680181e-05,-0.0036283918768829034,-0.003735759601454854,0.00010736772457193314
2020,2019-2025,reversal,initial_entry,1,0.009270188737767665,8.703849456041537e-05,0.00935722723232808,0.009173227229586134,0.00018400000274181367
2020,2019-2025,reversal,membership_changed,119,0.0011617458362830953,-1.1242630622674423e-05,0.0011505032056604214,0.0009789619050683657,0.0001715413005920371
2020,2019-2025,reversal,membership_retained,79,-0.0003126539696436408,-3.8714956335763465e-06,-0.00031652546527721715,-0.00040249521204086295,8.596974676364794e-05
2021,2019-2025,supervised,initial_entry,1,-0.004506856480049852,-5.178193154631042e-06,-0.004512034673204482,-0.004672034675588743,0.0001600000023841858
2021,2019-2025,supervised,membership_changed,195,-9.654944541546734e-05,-2.0044108930268233e-06,-9.855385630849421e-05,-0.00036384717591798595,0.0002652933196094844
2021,2019-2025,supervised,membership_retained,1,0.004522026123560971,-4.086992587420065e-05,0.00448115619768677,0.0042890115052014455,0.00019214469248541566
2021,2019-2025,reversal,initial_entry,1,-0.004709533903340338,-3.72029214789745e-07,-0.004709905932555129,-0.004893905935296927,0.00018400000274181367
2021,2019-2025,reversal,membership_changed,126,0.00036794049684551496,4.625586562294607e-06,0.00037256608340780953,0.00019881672632289803,0.0001737493570849146
2021,2019-2025,reversal,membership_retained,70,0.0015257327121462755,6.07276231838604e-06,0.0015318054744646616,0.0014485655455070126,8.323992895765764e-05
2022,2019-2025,supervised,initial_entry,1,-0.01499875471236449,1.1913906998267066e-05,-0.014986840805366221,-0.015166840808048532,0.000180000002682209
2022,2019-2025,supervised,membership_changed,193,0.00011080759292834741,1.5131408986199797e-06,0.00011232073382696742,-0.00015643706337277225,0.00026875779719973564
2022,2019-2025,supervised,membership_retained,2,-0.00420843138032404,1.3558238717682345e-05,-0.004194873141606358,-0.004259829292341255,6.49561507348427e-05
2022,2019-2025,reversal,initial_entry,1,0.01564916546400268,-2.5770307562311643e-05,0.01562339515644037,0.015443395153758033,0.000180000002682209
2022,2019-2025,reversal,membership_changed,105,-0.0001093862313275249,1.3226130108270088e-05,-9.616010121925463e-05,-0.0002722296734156397,0.00017606957219638023
2022,2019-2025,reversal,membership_retained,90,0.0009201369604556927,2.6385064302600773e-05,0.0009465220247582937,0.0008656646066640344,8.085741809425743e-05
2023,2019-2025,supervised,initial_entry,1,0.004866917586374988,4.7300888825867946e-05,0.004914218475200857,0.004698218471982374,0.00021600000321865082
2023,2019-2025,supervised,membership_changed,196,0.00044086411732250844,-1.2384590898529138e-05,0.0004284795264239793,0.00016270486363590648,0.00026577466278807484
2023,2019-2025,supervised,membership_retained,0,,,,,
2023,2019-2025,reversal,initial_entry,1,-0.0035444555652428076,1.2906098190627234e-05,-0.003531549467052182,-0.0037115494697343987,0.000180000002682209
2023,2019-2025,reversal,membership_changed,114,-0.00010637868616095984,4.3211079934518684e-05,-6.316760622644105e-05,-0.00022643480813815144,0.00016326720191170972
2023,2019-2025,reversal,membership_retained,82,-3.743888303373255e-05,1.7866757453222162e-05,-1.9572125580510483e-05,-0.00010627815493795166,8.67060293574231e-05
2024,2019-2025,supervised,initial_entry,1,0.0018423113432783954,-1.4767617606944715e-05,0.001827543725671451,0.001675543723406614,0.0001520000022649765
2024,2019-2025,supervised,membership_changed,197,-0.00016980184976052876,-2.5771473691325494e-05,-0.00019557332345185405,-0.00046904051865784155,0.0002734671952059813
2024,2019-2025,supervised,membership_retained,0,,,,,
2024,2019-2025,reversal,initial_entry,1,-0.005635485321041637,6.8694923572362715e-06,-0.0056286158286844,-0.005804615831306981,0.00017600000262260436
2024,2019-2025,reversal,membership_changed,130,0.000571477961576797,-4.133504839685862e-07,0.0005710646110928285,0.0003995787663175688,0.00017148584477526296
2024,2019-2025,reversal,membership_retained,67,0.0009988126140355793,-3.4119922844975523e-06,0.0009954006217510816,0.0009038206058903574,9.158001586071792e-05
2025,2019-2025,supervised,initial_entry,1,0.0016676844703275703,-6.177244659955568e-05,0.0016059120237280145,0.0014579120215225672,0.00014800000220537186
2025,2019-2025,supervised,membership_changed,190,0.0009891212072704802,-1.683575123203036e-05,0.0009722854560384497,0.00069116857057386,0.00028111688546459925
2025,2019-2025,supervised,membership_retained,2,0.007378998098217685,-1.867319724000495e-05,0.007360324900977681,0.0071995351412859065,0.00016078975969170865
