fold,era,policy,gap,response,correlation,status,decisions
2016,2009-2018,reversal,bottom_boundary_gap,membership_exit_rate,-0.2570660407163451,defined,196
2016,2009-2018,reversal,bottom_boundary_gap,cost_ratio,-0.1688531793985568,defined,196
2016,2009-2018,reversal,top_boundary_gap,membership_exit_rate,-0.3956291281698712,defined,196
2016,2009-2018,reversal,top_boundary_gap,cost_ratio,-0.2728496162800657,defined,196
2017,2009-2018,supervised,bottom_boundary_gap,membership_exit_rate,-0.09443256574250418,defined,194
2017,2009-2018,supervised,bottom_boundary_gap,cost_ratio,-0.08385395624982886,defined,194
2017,2009-2018,supervised,top_boundary_gap,membership_exit_rate,-0.07983993996945916,defined,194
2017,2009-2018,supervised,top_boundary_gap,cost_ratio,-0.08125949288816164,defined,194
2017,2009-2018,reversal,bottom_boundary_gap,membership_exit_rate,-0.26065961521683384,defined,194
2017,2009-2018,reversal,bottom_boundary_gap,cost_ratio,-0.16126867008452514,defined,194
2017,2009-2018,reversal,top_boundary_gap,membership_exit_rate,-0.2744185609027434,defined,194
2017,2009-2018,reversal,top_boundary_gap,cost_ratio,-0.16272063501671943,defined,194
2018,2009-2018,supervised,bottom_boundary_gap,membership_exit_rate,0.04602123353083439,defined,197
2018,2009-2018,supervised,bottom_boundary_gap,cost_ratio,0.06696508409541911,defined,197
2018,2009-2018,supervised,top_boundary_gap,membership_exit_rate,-0.16187284837854662,defined,197
2018,2009-2018,supervised,top_boundary_gap,cost_ratio,-0.09411059793511012,defined,197
2018,2009-2018,reversal,bottom_boundary_gap,membership_exit_rate,-0.27546183356817644,defined,197
2018,2009-2018,reversal,bottom_boundary_gap,cost_ratio,-0.16333256330408774,defined,197
2018,2009-2018,reversal,top_boundary_gap,membership_exit_rate,-0.44424409326774317,defined,197
2018,2009-2018,reversal,top_boundary_gap,cost_ratio,-0.29897434310375626,defined,197
2019,2019-2025,supervised,bottom_boundary_gap,membership_exit_rate,-0.017722687661314955,defined,196
2019,2019-2025,supervised,bottom_boundary_gap,cost_ratio,0.005703119076651983,defined,196
