timestamp,equity_jpy
2023-03-30T00:00:00+01:00,1000000.0
2023-03-31T00:00:00+01:00,998299.942276065
2023-04-03T00:00:00+01:00,1001146.2802379931
2023-04-04T00:00:00+01:00,994901.0077454995
2023-04-05T00:00:00+01:00,994140.6782431605
2023-04-06T00:00:00+01:00,997745.5609173587
2023-04-07T00:00:00+01:00,1000348.0175873351
2023-04-10T00:00:00+01:00,1001980.1808792461
2023-04-11T00:00:00+01:00,1005055.8402940269
2023-04-12T00:00:00+01:00,1004533.7174717367
2023-04-13T00:00:00+01:00,1001031.9089146615
2023-04-14T00:00:00+01:00,997676.05060994
2023-04-17T00:00:00+01:00,999986.0293916995
2023-04-18T00:00:00+01:00,999832.4991206636
2023-04-19T00:00:00+01:00,999852.8787991888
2023-04-20T00:00:00+01:00,1000578.4860279578
2023-04-21T00:00:00+01:00,1001282.3811553689
2023-04-24T00:00:00+01:00,1000916.867988612
2023-04-25T00:00:00+01:00,1000021.2515314906
2023-04-26T00:00:00+01:00,1001802.6605013771
2023-04-27T00:00:00+01:00,1001034.3695208488
2023-04-28T00:00:00+01:00,1000612.5144483816
2023-05-01T00:00:00+01:00,1000694.7001765334
2023-05-02T00:00:00+01:00,999697.3312153001
2023-05-03T00:00:00+01:00,1000186.502996883
2023-05-04T00:00:00+01:00,1000168.8177505053
2023-05-05T00:00:00+01:00,1002966.9254850553
2023-05-08T00:00:00+01:00,1005686.1736880372
2023-05-09T00:00:00+01:00,1006685.9869036606
2023-05-10T00:00:00+01:00,1005733.8139026691
2023-05-11T00:00:00+01:00,1005808.7817679843
2023-05-12T00:00:00+01:00,1001433.4381868718
2023-05-15T00:00:00+01:00,1000077.7942118493
2023-05-16T00:00:00+01:00,1001473.5325689812
2023-05-17T00:00:00+01:00,999542.9797128708
2023-05-18T00:00:00+01:00,998750.2612958204
2023-05-19T00:00:00+01:00,996697.9999857477
2023-05-22T00:00:00+01:00,996750.1663180204
2023-05-23T00:00:00+01:00,995660.9223607427
2023-05-24T00:00:00+01:00,995430.8187095497
2023-05-25T00:00:00+01:00,994729.581263439
2023-05-26T00:00:00+01:00,993640.4732807624
2023-05-29T00:00:00+01:00,992928.4249652467
2023-05-30T00:00:00+01:00,993088.6300316544
2023-05-31T00:00:00+01:00,992728.5489469613
2023-06-01T00:00:00+01:00,995220.8478126293
2023-06-02T00:00:00+01:00,996126.3014307941
2023-06-05T00:00:00+01:00,995548.583827648
2023-06-06T00:00:00+01:00,995724.2831529328
2023-06-07T00:00:00+01:00,995615.417206605
2023-06-08T00:00:00+01:00,995469.6668886282
